Date,Open,High,Low,Close,Adj Close,Volume
2012-03-19,72.410004,72.989998,72.330002,72.730003,60.379257,1963700
2012-03-20,72.339996,72.580002,72.080002,72.480003,60.171711,1547300
2012-03-21,72.510002,72.610001,72.209999,72.400002,60.105289,2033400
2012-03-22,71.849998,72.019997,71.570000,71.820000,59.623764,1823700
2012-03-23,71.839996,72.180000,71.449997,72.110001,59.864544,1260600
2012-03-26,72.339996,72.800003,72.339996,72.800003,60.696606,1585200
2012-03-27,72.849998,72.940002,72.540001,72.559998,60.496517,2398100
2012-03-28,72.500000,72.660004,71.730003,72.199997,60.196377,2864300
2012-03-29,71.800003,72.169998,71.440002,72.070000,60.087978,1567300
2012-03-30,72.470001,72.480003,71.959999,72.260002,60.246414,1244400
2012-04-02,72.260002,73.059998,72.089996,72.870003,60.755001,2391100
2012-04-03,72.790001,72.940002,72.199997,72.629997,60.554852,1861200
2012-04-04,72.080002,72.089996,71.550003,71.820000,59.879524,2402000
2012-04-05,71.620003,71.970001,71.500000,71.769997,59.837875,1198700
2012-04-09,70.800003,71.209999,70.699997,70.930000,59.137516,1735700
2012-04-10,70.779999,70.959999,69.570000,69.599998,58.028645,5396000
2012-04-11,70.370003,70.500000,70.099998,70.180000,58.512184,2120500
2012-04-12,70.320000,71.279999,70.269997,71.239998,59.395966,1428600
2012-04-13,71.050003,71.050003,70.330002,70.370003,58.670609,1567400
2012-04-16,70.750000,70.849998,70.040001,70.300003,58.612259,1439000
2012-04-17,70.779999,71.559998,70.720001,71.370003,59.504372,1287900
2012-04-18,71.129997,71.349998,70.980003,71.120003,59.295914,1873500
2012-04-19,71.080002,71.470001,70.370003,70.709999,58.954063,2368300
2012-04-20,71.059998,71.290001,70.800003,70.820000,59.045811,1219600
2012-04-23,70.120003,70.250000,69.709999,70.209999,58.537201,2151700
2012-04-24,70.320000,70.639999,70.180000,70.440002,58.728981,2764700
2012-04-25,71.139999,71.500000,71.099998,71.480003,59.596077,1536200
2012-04-26,71.379997,72.089996,71.300003,72.000000,60.029621,1029400
2012-04-27,72.150002,72.349998,71.769997,72.169998,60.171364,1252600
2012-04-30,72.000000,72.099998,71.650002,71.800003,59.862873,1108900
2012-05-01,71.800003,72.790001,71.730003,72.260002,60.246414,2125400
2012-05-02,71.870003,72.160004,71.589996,72.099998,60.112984,1403700
2012-05-03,72.129997,72.150002,71.290001,71.470001,59.587742,1432600
2012-05-04,71.080002,71.129997,70.230003,70.279999,58.595592,1771800
2012-05-07,70.089996,70.559998,70.000000,70.330002,58.637272,1105600
2012-05-08,69.940002,70.169998,69.150002,70.070000,58.420486,1909000
2012-05-09,69.300003,70.080002,68.989998,69.650002,58.070339,2191700
2012-05-10,70.190002,70.220001,69.669998,69.830002,58.220390,2928000
2012-05-11,69.349998,70.239998,69.320000,69.639999,58.061993,1075400
2012-05-14,69.010002,69.320000,68.730003,68.849998,57.403324,1631300
2012-05-15,68.800003,69.199997,68.339996,68.480003,57.094841,1185200
2012-05-16,68.750000,69.070000,68.139999,68.160004,56.828049,1893600
2012-05-17,68.160004,68.250000,66.980003,66.980003,55.844231,2499400
2012-05-18,67.220001,67.379997,66.300003,66.419998,55.377319,4340800
2012-05-21,66.620003,67.650002,66.459999,67.650002,56.402828,2172400
2012-05-22,67.760002,68.260002,67.279999,67.669998,56.419525,1907800
2012-05-23,67.230003,67.889999,66.559998,67.790001,56.519550,1777100
2012-05-24,67.989998,68.070000,67.330002,67.919998,56.627934,1193600
2012-05-25,67.930000,68.080002,67.589996,67.760002,56.494553,692900
2012-05-29,68.260002,68.690002,68.059998,68.580002,57.178223,2231400
2012-05-30,68.000000,68.029999,67.379997,67.500000,56.277767,962400
2012-05-31,67.510002,67.830002,66.750000,67.330002,56.136036,1701100
2012-06-01,66.239998,66.470001,65.570000,65.599998,54.693649,2883200
2012-06-04,65.639999,65.879997,64.940002,65.540001,54.643627,3083000
2012-06-05,65.389999,66.150002,65.339996,66.040001,55.060520,1918900
